,clouds_6,day_time_3,init_pos_4,label
359,2,51843.4561,7.6262,1
360,4,93155.4457,1.5961,0
361,3,76897.772,6.87,1
362,5,87411.6129,6.4875,1
363,4,61057.6053,1.8582,0
364,0,55388.798,4.0936,1
365,5,66879.6328,1.6032,0
366,4,94682.384,5.7964,1
367,4,76596.8857,4.6134,1
368,3,65234.1091,2.3862,0
369,4,59806.2675,5.1308,1
370,2,90944.6843,6.4469,1
371,2,53296.8075,5.8111,1
372,3,72843.4885,0.9385,0
373,3,91924.9195,4.0508,1
374,4,78673.7115,5.4644,1
375,3,83226.851,5.9275,1
376,2,70340.0624,0.8574,0
377,4,67578.4501,7.2785,1
378,0,51112.1499,7.5892,1
379,4,58331.6628,7.6762,1
380,3,85337.0395,0.9519,0
381,5,69839.8721,6.8132,1
382,3,79179.1512,7.8253,1
383,2,73730.409,0.6718,0
384,5,61110.1417,6.5342,1
385,1,71124.247,0.869,0
386,2,72055.2536,2.0066,0
387,3,57385.4611,3.6794,1
388,3,53318.9625,1.3748,1
389,0,54966.8076,4.8628,1
390,5,65536.0064,0.6147,0
391,4,93276.4312,2.8812,1
392,1,55676.123,4.9079,1
393,0,91065.1908,6.2163,1
394,2,73379.9698,4.7096,1
395,0,75679.5096,5.4179,1
396,5,91168.2328,3.5733,1
397,5,77724.3684,6.9808,1
398,0,84120.6093,3.6918,1
399,4,54180.8793,7.9276,1
400,3,51710.1117,7.02,1
401,0,74381.2287,0.4973,0
402,4,62051.0314,1.6501,0
403,4,55920.522,3.0994,1
404,1,75524.3173,6.4173,1
405,4,82566.1419,6.2773,1
406,2,54170.5804,1.6713,0
407,5,90324.8443,2.1548,0
408,2,60922.0017,7.0647,1
409,4,94663.2371,0.0758,0
410,3,79354.3609,3.8022,1
411,5,80142.714,4.1315,1
412,4,60176.3544,1.7473,0
413,4,81767.8882,1.8428,0
414,0,75351.2782,3.0361,1
415,4,62053.9177,5.7748,1
416,4,83601.7735,1.1388,0
417,3,70388.2387,3.2412,1
